Key,Stop Name,Latitude,Longitude
541,Galinde Path,18.4846075,73.8103946
542,Karvenagar,18.4892515,73.8144296
543,Provision Stores,18.4891157,73.8150078
544,Sahwas Corner,18.4918492,73.8180299
545,Shreeman Society,18.4922279,73.8198656
546,Vitthal Mandir Shreeman Society,18.4908199,73.8230868
547,Madhusanchay Society,18.4899937,73.8256614
548,United Western Sabhagruha,18.4924725,73.8275336
549,Navsahayadri,18.4954238,73.8283479
550,Alankar Police Chowky,18.4979965,73.8269452
551,Ganeshnagar Navsahyadri,18.4981223,73.8265989
552,Karnatak Highschool,18.5016167,73.8270253
553,Patwardhanbaug,18.5021547,73.8279716
554,Date Engineering,18.5029571,73.8292283
555,Mehandale Garage,18.5048779,73.8315425
556,Mahadev Mandir Mehendale Garage,18.5069776,73.832212
557,Nal Stop,18.5089314,73.8317652
558,Sonal Hall,18.5105604,73.8348999
559,Garware College,18.5122469,73.8383516
560,Goodluck Chowk,18.517985,73.841485
561,Fergusson College,18.5229762,73.8409657
562,Dnyaneshwar Paduka,18.5264222,73.841803
563,Mutton Market,18.53102,73.8442983
564,Na Ta Wadi,18.5347967,73.8488517
565,Shivajinagar,18.5325867,73.849345
566,COEP Hostel,18.5289617,73.8525967
567,Shivaji Putala,18.5263484,73.8528291
568,Ma Na Pa,18.5225575,73.853005
569,Balgandharv,18.5217965,73.847375
570,Natraj Talkies,18.5186233,73.8447483
571,Deccan Gymkhana,18.51638,73.8429033
572,Deccan Corner,18.5141772,73.8420618
573,Garware College,18.5119977,73.838078
574,Sonal Hall,18.5105096,73.835093
575,Nal Stop,18.5089009,73.8319181
576,Mahadev Mandir Mehendale Garage,18.5066622,73.832507
577,Mehandale Garage,18.5045879,73.8313064
578,Date Engineering,18.5031008,73.8295582
579,Patwardhanbaug,18.5020771,73.8279951
580,Karnatak Highschool,18.5014615,73.8264164
581,Ganeshnagar Navsahyadri,18.498093,73.8266009
582,Alankar Police Chowky,18.4980047,73.8269955
583,Navsahayadri,18.4956591,73.8282283
584,United Western Sabhagruha,18.4924064,73.827547
585,Madhusanchay Society,18.4899352,73.8260355
586,Vitthal Mandir Shreeman Society,18.4908606,73.8228776
587,Shreeman Society,18.491999,73.8203698
588,Sahwas Corner,18.4918053,73.8180594
589,Provision Stores,18.4890673,73.8150601
590,Karvenagar,18.4888569,73.8142941
591,Galinde Path,18.4845721,73.8104935
592,Pimple Gurav,18.5928154,73.8198929
593,Suvarnpark,18.5910867,73.819595
594,Pooja Hospital,18.5900123,73.8195484
595,Ramkrushna Mangal Karyalay,18.5856164,73.821923
596,Raviraj Hotel,18.5833238,73.8242827
597,Shitaladevi Chowk Pimplegurav,18.5819814,73.8299754
598,Dapodi Mantri Niketan,18.5790729,73.8297005
599,Shivaji Putala Dapodi,18.5761089,73.8307266
600,Buddha Vihar Dapodi,18.5745125,73.8325501
601,Chhajed Petrol Pump,18.5727971,73.8337866
602,Bhau Patil Chowk,18.5660553,73.8314133
603,Anantnagar Chowk,18.5626479,73.8305862
604,40 Aundh Road,18.5624955,73.8327495
605,LIC Colony,18.5623999,73.8336217
606,Khadki Station Corner,18.5617184,73.8405153
607,Balbhavan,18.5564585,73.8400641
608,Military Hospital Rangehills,18.5564341,73.8414616
609,Mutton Market rangehills,18.5561464,73.8424605
610,Rangehills Post Office,18.5525374,73.8433509
611,H Type,18.5492191,73.8433645
612,Rangehills Circle 2,18.5451832,73.8434343
613,Rangehills Circle 1,18.5449676,73.8394869
